quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y
C19,20,C19_20,C19_20,DRWI,,Prior,330,200
C19,32,C19_32,C19_32,CAPA,,Prior,310,190
C19,4,C19_4,C19_4,NONI,,Prior,70,410
C19,491,C19_491,C19_491,CAPA,,Prior,360,190
C19,5,C19_5,C19_5,DRWI,,Prior,80,390
C19,503,C19_503,C19_503,AMLU,,Prior,380,420
C19,510,C19_510,C19_510,CAPA,,Prior,330,300
C19,515,C19_515,C19_515,CAPA,,Prior,90,70
C19,517,C19_517,C19_517,CRHO,,Prior,410,50
C19,6,C19_6,C19_6,NONI,,Prior,95,380
C19,7,C19_7,C19_7,NONI,,Prior,80,310
C20,2,C20_2,C20_2,DRWI,,Prior,20,170
C20,2311,C20_2311,C20_2311,NONI,,Prior,60,150
