quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
B09,791,B09_791,B09_791,PONU,,Prior,120,430,30.7,V,DO,,,,2/3/2024,2024
B09,792,B09_792,B09_792,PONU,,Prior,150,380,9,V,CD,,,,2/3/2024,2024
B09,793,B09_793,B09_793,PONU,,Prior,60,340,8.2,V,IN,,,,2/3/2024,2024
B09,794,B09_794,B09_794,PONU,,Prior,15,75,12.7,V,IN,,,,2/3/2024,2024
B09,795,B09_795,B09_797,TEST,R1,Prior,400,220,6.9,V,IN,I,,,2/3/2024,2024
B09,797,B09_797,B09_797,TEST,R1,Prior,360,170,9.2,E,DO,I,,,2/3/2024,2024
B09,798,B09_798,B09_797,TEST,R1,Prior,390,170,8.5,E,BD,I,,,2/3/2024,2024
B10,967,B10_967,B10_967,PONU,,Prior,80,120,22,V,DO,,,,2/3/2024,2024
B10,970,B10_970,B10_970,-999,,Prior,225,28,9.7,M,-999,,C,log,2/3/2024,2024
B10,971,B10_971,B10_971,DRWI,,Prior,400,0,15.6,V,EM,,,,2/3/2024,2024
B10,972,B10_972,B10_972,TEST,,Prior,360,90,8.9,V,CD,,,tepu,2/3/2024,2024
B10,973,B10_973,B10_973,TEST,,Prior,360,135,9,V,IN,,,,2/3/2024,2024
B11,125,B11_125,B11_125,PONU,,Prior,135,15,47.5,V,EM,,,,2/3/2024,2024
B11,126,B11_126,B11_126,AMLU,,Prior,495,390,8.7,E,BD,,Dq,partido,2/3/2024,2024
B12,411,B12_411,B12_411,AMLU,,Prior,60,170,8.4,V,BD,,,,2/3/2024,2024
B12,412,B12_412,B12_412,TEST,,Prior,150,330,11,V,IN,I,,,2/3/2024,2024
B12,413,B12_413,B12_413,TEST,,Prior,164,320,-999,A,-999,-999,,No encontrado,2/3/2024,2024
B12,414,B12_414,B12_414,TEST,,Prior,400,390,-999,A,-999,-999,,No encontrado,2/3/2024,2024
B13,567,B13_567,B13_567,TEST,,Prior,350,50,8.7,V,IN,I,,,2/3/2024,2024
B13,568,B13_568,B13_568,-999,,Prior,370,100,7.7,M,-999,,,,2/3/2024,2024
B14,2924,B14_2924,B14_2924,DRWI,,Prior,60,350,9.9,V,IN,,,corregir a DW,2/3/2024,2024
B14,446,B14_446,B14_446,NONI,,Prior,190,100,34.5,V,EM,,,,2/3/2024,2024
B14,447,B14_447,B14_447,DRWI,,Prior,80,60,7.2,M,-999,,,,2/3/2024,2024
B14,449,B14_449,B14_449,DRWI,,Prior,360,200,16.8,V,EM,,,,2/3/2024,2024
B14,450,B14_450,B14_450,PONU,,Prior,360,300,9.5,V,EM,,,,2/3/2024,2024
B14,451,B14_451,B14_451,DRWI,,Prior,240,430,27.8,V,EM,,,,2/3/2024,2024
B14,452,B14_452,B14_452,DRWI,,Prior,310,450,15.5,V,DO,,,,2/3/2024,2024
B14,453,B14_453,B14_453,TEST,,Prior,330,470,20.2,V,DO,,,,2/3/2024,2024
B14,454,B14_454,B14_454,TEST,,Prior,350,470,7.2,V,IN,,,,2/3/2024,2024
B14,455,B14_455,B14_455,DRWI,,Prior,320,330,14.8,V,DO,,,,2/3/2024,2024
B14,456,B14_456,B14_456,TEST,,Prior,330,300,24,V,IN,,,,2/3/2024,2024
B15,113,B15_113,B15_113,DRWI,,Prior,45,45,7,V,BD,,,,2/3/2024,2024
B15,114,B15_114,B15_114,AMLU,R1,Prior,130,70,66.5,M,-999,,,,2/3/2024,2024
B15,115,B15_115,B15_114,AMLU,R1,Prior,110,30,7,V,IN,,,,2/3/2024,2024
B15,116,B15_116,B15_116,DRWI,,Prior,50,135,7.2,M,-999,,,,2/3/2024,2024
B15,117,B15_117,B15_117,AMLU,,Prior,0,165,5.2,V,IN,,,,2/3/2024,2024
B15,118,B15_118,B15_118,DRWI,,Prior,20,240,24.9,V,CD,,,,2/3/2024,2024
B15,119,B15_119,B15_119,DRWI,,Prior,60,190,21.6,V,DO,,,,2/3/2024,2024
B15,120,B15_120,B15_120,DRWI,,Prior,55,215,5.1,M,-999,,,,2/3/2024,2024
B15,121,B15_121,B15_121,PONU,,Prior,55,470,5.3,V,BD,,,,2/3/2024,2024
